,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
234,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,1,910530,0.38,2024-04
235,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,2,836660,0.35,2024-04
236,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,3,545624,0.23,2024-04
237,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,4,75918,0.03,2024-04
238,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
239,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,all,2368732,1.0,2024-04
240,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,3+,803361,0.34,2024-04
241,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,1,667038,0.28,2024-04
242,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,2,898333,0.38,2024-04
243,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,3,710636,0.3,2024-04
244,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,4,92725,0.04,2024-04
245,2024-04-01,SDN,47208125,River Nile,first projection,2024-06-01,2024-09-30,5,0,0.0,2024-04
246,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,all,2368732,1.0,2024-04
247,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,3+,597797,0.25,2024-04
248,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,1,696216,0.29,2024-04
249,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,2,1074719,0.45,2024-04
250,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,3,579707,0.24,2024-04
251,2024-04-01,SDN,47208125,River Nile,second projection,2024-10-01,2025-02-28,4,18090,0.01,2024-04
